=== TIMING (nanoseconds per operation) ===
Ratio = Java ns/op / My ns/op  (< 1.0 means native is faster)
Operation,n=1K (My),n=1K (Java),n=1K Ratio,n=10K (My),n=10K (Java),n=10K Ratio,n=100K (My),n=100K (Java),n=100K Ratio,n=1M (My),n=1M (Java),n=1M Ratio,n=10M (My),n=10M (Java),n=10M Ratio,Guessed-O (My),Guessed-O (Java)
ArrayList  get(index),12.463,9.933,0.7970,6.654,6.822,1.0253,4.899,5.613,1.1456,14.408,13.393,0.9296,26.959,23.442,0.8696,O(log n),O(log n)
ArrayList  add(end),13.357,14.256,1.0673,12.213,14.061,1.1513,9.210,8.996,0.9768,8.809,10.162,1.1535,69.902,21.450,0.3069,O(log n),O(1)
ArrayList  add(front),37501.887,34574.229,0.9219,5859.639,5809.679,0.9915,5763.100,5832.505,1.0120,79422.050,79644.950,1.0028,1863795.500,1870864.500,1.0038,O(sqrt n),O(sqrt n)
ArrayList  contains,242.491,310.308,1.2797,3004.512,3075.455,1.0236,7482.440,7328.590,0.9794,43468.450,41777.550,0.9611,540173.000,575853.500,1.0661,O(n),O(n)
HashMap  put,34.283,14.289,0.4168,19.474,18.408,0.9453,55.396,44.639,0.8058,34.331,112.278,3.2705,52.208,123.649,2.3684,O(1),O(log n)
HashMap  get,11.714,12.108,1.0337,14.108,14.793,1.0486,23.136,11.119,0.4806,26.763,36.089,1.3485,42.601,53.304,1.2513,O(log n),O(log n)
HashMap  containsKey,11.647,12.301,1.0561,13.740,15.154,1.1029,11.835,9.506,0.8032,20.822,21.504,1.0328,42.995,38.834,0.9032,O(log n),O(log n)

=== MEMORY (bytes per element, N = 3,000,000) ===
Ratio = Java bytes/elem / My bytes/elem
Structure,Elements,My Heap (MB),Java Heap (MB),My Bytes/elem,Java Bytes/elem,Ratio
ArrayList,3000000,57.07,58.24,19.9,20.4,1.0206
HashMap,3000000,202.25,202.22,70.7,70.7,0.9998
