Operation,n=1000,n=10000,n=100000,n=1000000,n=10000000,Guessed-O
ArrayList.get(index),7.747,7.157,4.898,15.706,24.368,O(log n)
ArrayList.add(end),17.227,13.235,9.253,10.306,16.990,O(1)
ArrayList.add(front),34575.206,5835.429,5922.365,82719.950,1752698.500,O(sqrt n)
ArrayList.contains,244.661,2753.797,27656.805,417475.750,7647995.500,O(n)
LinkedList.get(index),210.631,2527.503,24814.890,732916.300,12495908.000,O(n)
LinkedList.addLast,8.683,4.123,4.097,209.076,369.151,O(sqrt n)
LinkedList.addFirst,44.504,170.873,4.072,55.895,385.919,O(log n)
LinkedList.contains,1151.453,13320.008,123324.440,3801369.000,38979762.000,O(n)
ArrayDeque.addLast,12.591,107.903,8.305,7.867,19.005,O(1)
ArrayDeque.addFirst,13.219,12.439,39.302,40.436,50.553,O(log n)
ArrayDeque.contains,204.444,2375.281,24954.980,524002.050,8139293.000,O(n)
HashSet.add,8.644,12.298,26.510,82.211,72.670,O(log n)
HashSet.contains,10.018,15.487,9.100,26.362,57.790,O(log n)
TreeSet.add,59.216,106.797,263.739,664.118,1061.908,O(log n)
TreeSet.contains,51.116,81.118,138.591,467.618,694.260,O(log n)
HashMap.put,12.718,16.939,30.932,78.191,106.800,O(log n)
HashMap.get,11.217,16.819,8.300,25.265,42.977,O(log n)
HashMap.containsKey,10.380,14.005,7.663,21.879,31.791,O(log n)
TreeMap.put,63.794,116.073,269.705,734.808,1059.719,O(log n)
TreeMap.get,48.119,80.154,157.928,384.943,720.658,O(log n)
TreeMap.containsKey,52.017,83.774,162.990,388.776,701.033,O(log n)
PriorityQueue.offer,19.930,21.078,34.953,18.212,129.801,O(log n)
PriorityQueue.poll,268.296,309.903,377.876,470.280,638.228,O(log n)
PriorityQueue.peek,6.668,4.743,4.755,4.849,4.780,O(1)
